date,close,high,low,trade_count,open,volume,vwap,MA_Short,MA_Long,RSI,MACD,MACD_Signal,MACD_Diff,Bollinger_High,Bollinger_Low,Bollinger_Width,OBV,ROC
2024-03-26 04:00:00+00:00,169.89,171.38,169.63,8682,170.05,637480,170.436166,173.5875,181.718,37.564352595958894,-2.6338576373876776,-2.795464843772187,0.16160720638450954,181.05713687203075,166.11786312796926,8.606192118707565,-9949000,0.46123824729464413
2024-03-27 04:00:00+00:00,173.355,173.6,170.13,11341,170.45,976859,172.527728,173.18275,181.5137,45.50640214519812,-2.4100052464432338,-2.7183729243063968,0.308367677863163,179.72394367929138,166.64155632070862,7.554093787390929,-8972141,2.595135231106108
2024-03-28 04:00:00+00:00,171.51,172.22,170.53,8587,171.87,763045,171.410035,172.72175,181.2911,42.41273180205495,-2.354337358991671,-2.645565811243452,0.29122845225178073,178.2988955736785,167.14460442632148,6.45795399094614,-9735186,0.3099777751783841
2024-04-01 04:00:00+00:00,169.97,171.21,169.485,7834,171.195,578838,170.040962,172.23825,180.9165,39.97016469096154,-2.4067418647320267,-2.597801021941167,0.19105915720914046,176.94053165362322,167.53596834637676,5.460206026969307,-10314024,-1.643423412996935
2024-04-02 04:00:00+00:00,168.93,169.34,168.27,8822,169.1,775556,168.920771,171.93025,180.4641,38.36335606921167,-2.503335231169814,-2.5789078637868967,0.07557263261708291,176.65194511404556,167.20855488595444,5.492570520947371,-11089580,-2.465357967667426
2024-04-03 04:00:00+00:00,169.74,170.67,168.62,7948,168.735,663801,169.906197,171.91074999999998,179.9811,40.37384364310354,-2.4858703731803757,-2.5603003656655927,0.07442999248521698,176.66513142664232,167.15636857335764,5.531220620749243,-10425779,-0.8122479985975494
2024-04-04 04:00:00+00:00,168.86,171.905,168.84,9203,170.65,737973,170.218373,171.89825000000002,179.4557,38.889688798468974,-2.5140575029814727,-2.5510517931287686,0.03699429014729594,176.68323618075348,167.11326381924655,5.567230824925167,-11163752,-2.4494511842865285
2024-04-05 04:00:00+00:00,169.68,170.36,168.98,7193,169.565,609765,169.646929,171.93374999999997,178.958,41.06377758804063,-2.4420781032190177,-2.5292570551468185,0.08717895192780079,176.64121733923895,167.226282660761,5.475908411511963,-10553987,-1.686076829480269
2024-04-08 04:00:00+00:00,168.54,169.175,168.27,5507,169.175,426750,168.704113,171.81175,178.445,38.987143947137774,-2.448794207641953,-2.5131644856458455,0.06437027800389261,176.73336485185519,166.8901351481448,5.729078310249673,-10980737,-2.9594656840165907
2024-04-09 04:00:00+00:00,169.7,170.065,168.35,7574,168.79,554900,169.090734,171.65625,177.9916,42.19072929021909,-2.3336140135842243,-2.4772543912335214,0.14364037764929716,176.63803369161104,166.67446630838896,5.804372041928031,-10425837,-3.6342986939239106
2024-04-10 04:00:00+00:00,167.73,169.06,167.12,9853,168.9,648092,168.005996,171.38275000000002,177.51089999999996,38.49413003018828,-2.3739302260622708,-2.4565895581992714,0.08265933213700061,176.59095648112205,166.17454351887798,6.077865457430264,-11073929,-6.091484239404302
2024-04-11 04:00:00+00:00,175.04,175.455,168.185,14967,168.26,1987855,172.558248,171.57825,177.25169999999997,54.44426145042882,-1.7953297631768237,-2.3243375991947817,0.529007836017958,177.02204029261796,166.13445970738204,6.345548217933173,-9086074,2.1356050881082953
2024-04-12 04:00:00+00:00,176.62,178.35,174.23,20577,174.39,2326731,176.252341,171.75425,177.0959,57.03760795066435,-1.1955108277175555,-2.0985722448993367,0.9030614171817812,177.59648011785757,165.91201988214246,6.803010834209405,-6759343,2.5251059383525827
2024-04-15 04:00:00+00:00,172.73,176.61,172.51,18996,175.455,2005050,174.345854,171.76125,176.8129,49.55755720549113,-1.0222565526116796,-1.8833091064418055,0.8610525538301259,177.6078027236143,165.91469727638568,6.807766854997049,-8764393,1.0767160161507423
2024-04-16 04:00:00+00:00,169.34,173.75,168.27,12660,171.69,1175534,170.333464,171.54425,176.4829,44.12657655129956,-1.14529372678669,-1.7357060305107825,0.5904123037240925,177.4119576230843,165.6765423769157,6.8410426150504025,-9939927,-0.32373888986990584
2024-04-17 04:00:00+00:00,168.01,170.63,168.0,8412,169.53,605430,169.118244,171.13975,176.0903,42.17382074094742,-1.3347354589547251,-1.6555119161995713,0.32077645724484616,176.80744130687276,165.47205869312722,6.623465684474553,-10545357,-3.0832684375991457
2024-04-18 04:00:00+00:00,167.03,168.62,166.57,9593,168.06,901199,167.435454,170.56075,175.64489999999998,40.743080845559575,-1.546124446163816,-1.6336344221924202,0.08750997602860422,175.35646087014229,165.76503912985774,5.623463628228971,-11446556,-2.612092589353385
2024-04-19 04:00:00+00:00,164.96,166.38,164.08,11948,165.99,1032397,165.060773,170.23975000000002,175.15670000000003,37.82419951685656,-1.8592511518556591,-1.678757768125068,-0.1804933837305911,175.59942580642718,164.88007419357285,6.2966208613759855,-12478953,-2.9475789845266758
2024-04-22 04:00:00+00:00,165.91,167.25,164.78,9921,165.53,934080,166.034684,169.92175,174.7073,39.95043036718206,-2.0076068198267194,-1.7445275784653984,-0.263079241361321,175.51161518173743,164.33188481826258,6.57934041020343,-11544873,-1.7877227253892205
