date,close,high,low,trade_count,open,volume,vwap
2020-07-27 04:00:00+00:00,323.26,323.39,320.82,4768,321.625,647693,322.48475
2020-07-28 04:00:00+00:00,321.24,323.635,320.85,4238,322.57,521475,322.427003
2020-07-29 04:00:00+00:00,325.16,325.705,322.12,4808,322.12,600377,324.227394
2020-07-30 04:00:00+00:00,323.96,324.385,319.64,4800,321.71,612074,322.353494
2020-07-31 04:00:00+00:00,326.54,326.6,321.34,7509,325.9,1135945,324.032081
2020-08-03 04:00:00+00:00,328.76,329.615,327.745,5097,328.35,576077,328.910612
2020-08-04 04:00:00+00:00,330.0,330.0,327.96,6232,328.15,658108,329.0526
2020-08-05 04:00:00+00:00,332.08,332.38,331.19,4547,331.43,505770,331.891162
2020-08-06 04:00:00+00:00,334.28,334.46,331.17,5025,331.46,637928,333.014743
2020-08-07 04:00:00+00:00,334.6,334.69,332.31,4966,333.26,646217,333.728027
2020-08-10 04:00:00+00:00,335.52,335.765,332.99,5033,335.055,503468,335.007662
2020-08-11 04:00:00+00:00,332.92,337.53,332.05,5384,336.95,765407,335.14944
2020-08-12 04:00:00+00:00,337.42,338.26,335.45,4353,335.45,751172,337.300224
2020-08-13 04:00:00+00:00,336.88,338.2,335.91,3942,336.66,495840,337.297391
2020-08-14 04:00:00+00:00,336.86,337.39,335.74,3976,336.46,397381,336.589212
2020-08-17 04:00:00+00:00,337.86,338.335,337.515,3296,337.945,379669,337.923049
2020-08-18 04:00:00+00:00,338.63,339.08,336.67,4163,338.35,624322,338.442495
2020-08-19 04:00:00+00:00,337.28,339.61,336.66,4940,339.045,957875,338.475064
2020-08-20 04:00:00+00:00,338.22,338.78,335.22,5170,335.39,557824,337.555004
2020-08-21 04:00:00+00:00,339.44,339.72,337.57,4667,337.92,560454,338.965359
2020-08-24 04:00:00+00:00,342.97,342.97,341.1,4700,342.13,551451,341.942787
2020-08-25 04:00:00+00:00,344.12,344.18,342.305,4387,343.545,597403,343.235499
2020-08-26 04:00:00+00:00,347.61,347.84,344.17,4006,344.74,538806,346.38649
2020-08-27 04:00:00+00:00,348.32,349.86,346.57,5258,348.535,828795,348.617593
2020-08-28 04:00:00+00:00,350.54,350.71,348.235,4638,349.44,538160,349.461013
2020-08-31 04:00:00+00:00,349.34,351.28,349.125,5266,350.35,745582,350.346388
2020-09-01 04:00:00+00:00,352.59,352.66,349.27,7430,350.205,839295,351.138059
2020-09-02 04:00:00+00:00,357.71,358.69,353.46,6081,354.67,896884,355.886068
