portfolio_value
10000.0
10002.445000000002
9994.985000000002
10036.985000000002
10061.065000000002
10066.315000000002
10056.415000000003
10076.915000000003
10065.465000000002
10041.315000000002
10029.640000000003
10036.090000000004
10040.490000000003
10060.490000000003
10066.130000000005
10048.630000000003
10085.170000000002
10110.720000000003
10117.800000000003
10146.720000000003
10156.940000000002
10162.220000000001
10191.900000000001
10149.740000000002
10173.230000000001
10214.83
10219.23
10148.79
10096.54
10099.07
10095.99
10104.35
10034.665
10021.85
10029.17
10030.875
10036.814999999999
10082.314999999999
10030.934999999998
10050.435
9902.314999999999
9870.965
9908.345
9961.445
10006.404999999999
10030.885
10088.645
10095.365
10144.325
10166.244999999999
10162.164999999999
10173.525
10169.955
10140.795
10180.695
10189.494999999999
10208.185000000001
10173.485
10245.619999999999
10224.72
10083.039999999999
10035.279999999999
10074.279999999999
10039.439999999999
10039.439999999999
10015.64
10086.98
10095.68
10082.35
9891.630000000001
9904.5
10039.82
10322.445
10309.125
10233.460000000001
10270.32
10227.420000000002
10279.619999999999
10282.285
10497.324999999999
10211.59
10236.449999999999
10183.8
10232.849999999999
10010.1
10192.349999999999
10359.749999999998
10338.15
10269.749999999998
10440.3
10558.65
10459.199999999999
10479.449999999999
10604.55
10671.87
10645.32
10410.645
10407.27
10435.17
10538.22
10548.12
10387.470000000001
10188.12
10058.970000000001
10023.42
10086.87
10046.82
10263.495
10252.470000000001
10121.97
10121.97
10163.82
10303.77
10153.02
10297.470000000001
10299.720000000001
10335.27
10311.87
10369.02
10510.32
10604.37
10604.820000000002
10712.82
10813.845
10949.52
10962.57
10968.42
10951.32
11140.32
11181.720000000001
11120.745
11191.17
11193.81
11323.609999999999
11432.289999999999
11188.089999999998
11266.41
11485.56
11470.259999999998
11646.66
11690.309999999998
11532.134999999998
11378.795
11306.57
11003.945
10985.495
11058.17
10933.744999999999
10950.395
10686.244999999999
10580.495
10532.57
